root,relpath,code,href,written,status
/Volumes/disk/J/Adult,0/738ASGMX-002/738ASGMX-002.mp4,ASGMX-002,/v/g0bOkG,1,
/Volumes/disk/J/Adult,A/ASGMX-004/ASGMX-004.mp4,ASGMX-004,/v/358VZN,1,
/Volumes/disk/J/Adult,A/AT-172/AT-172.mp4,AT-172,,,
/Volumes/disk/D/Adult,A/ATI/ATID-318/ATID-318.mp4,ATID-318,/v/YwWNK,1,
/Volumes/disk/G/Adult,A/ATID/ATID-356/ATID-356.mp4,ATID-356,/v/YeWQx,1,
/Volumes/disk/J/Adult,A/ATID/ATID-370/ATID-370.mp4,ATID-370,/v/y0zWv,1,
/Volumes/disk/G/Adult,A/ATID/ATID-399/ATID-399.mp4,ATID-399,/v/kbRJJ,1,
/Volumes/disk/J/Adult,A/ATID/ATID-441/ATID-441.mp4,ATID-441,,,
/Volumes/disk/D/Adult,A/ATI/ATID-499/ATID-499.mp4,ATID-499,,,
/Volumes/disk/J/Adult,A/ATID-523/ATID-523.mp4,ATID-523,/v/O22RXB,1,
/Volumes/disk/J/Adult,A/ATID/ATID-526/ATID-526.mp4,ATID-526,,,
/Volumes/disk/J/Adult,A/ATID/ATID-537/ATID-537.mp4,ATID-537,,,
/Volumes/disk/J/Adult,A/ATID/ATID-539/ATID-539.mp4,ATID-539,/v/GMwxmb,1,
/Volumes/disk/J/Adult,A/ATID-545/ATID-545.mp4,ATID-545,/v/g0P2KE,1,
/Volumes/disk/J/Adult,A/ATID/ATID-552/ATID-552.mp4,ATID-552,/v/NwdGeZ,1,
/Volumes/disk/J/Adult,A/ATID-559-U/ATID-559.mp4,ATID-559,,,
/Volumes/disk/J/Adult,A/ATID-577-C/ATID-577.mp4,ATID-577,,,
/Volumes/disk/D/Adult,unclass/ATYA-018/atya-018.mp4,ATYA-018,/v/z4Mzxb,1,
/Volumes/disk/G/Adult,A/AVOP/AVOP-408/AVOP-408.mp4,AVOP-408,/v/NRNQN,1,
/Volumes/disk/G/Adult,A/AXX/AXX-1702/AXX-1702.mp4,AXX-1702,,,
/Volumes/disk/J/Adult,B/BAB/BAB-044/BAB-044.mp4,BAB-044,/v/9bJV5,1,
/Volumes/disk/D/Adult,B/BAB/BAB-071/BAB-071.mp4,BAB-071,,,
/Volumes/disk/D/Adult,B/BAB/BAB-089/BAB-089.mp4,BAB-089,,,
/Volumes/disk/J/Adult,B/BABD/BABD-003/BABD-003.mp4,BABD-003,,,
/Volumes/disk/J/Adult,B/BABD/BABD-005/BABD-005.mp4,BABD-005,,,
/Volumes/disk/J/Adult,B/bacj-053/bacj-053.mp4,BACJ-053,/v/g0bO5G,1,
/Volumes/disk/J/Adult,B/BACJ/BACJ-071/BACJ-071.mp4,BACJ-071,/v/akY8pO,1,
/Volumes/disk/J/Adult,B/BANK/BANK-053/BANK-053.mp4,BANK-053,,,
/Volumes/disk/J/Adult,B/BANK/BANK-079/BANK-079.mp4,BANK-079,,,
/Volumes/disk/G/Adult,B/BANK/BANK-100/BANK-100.mp4,BANK-100,/v/NwgxvB,1,
/Volumes/disk/D/Adult,B/BAN/BANK-125/BANK-125.mp4,BANK-125,/v/0RVYb0,1,
/Volumes/disk/D/Adult,B/BAN/BANK-127/BANK-127.mp4,BANK-127,,,
/Volumes/disk/D/Adult,unclass/BAZX-340/bazx-340.mp4,BAZX-340,/v/Z7v7J,1,
/Volumes/disk/J/Adult,B/BAZX/BAZX-347/BAZX-347.mp4,BAZX-347,/v/355Yyb,1,
/Volumes/disk/G/Adult,B/BAZX/BAZX-361/BAZX-361.mp4,BAZX-361,/v/YnzJyp,1,
/Volumes/disk/J/Adult,B/BAZX-365/BAZX-365.mp4,BAZX-365,,,
/Volumes/disk/J/Adult,B/BAZX-378/BAZX-378.mp4,BAZX-378,/v/E27bP3,1,
/Volumes/disk/J/Adult,B/BAZX-380/BAZX-380.mp4,BAZX-380,/v/k49K2N,1,
/Volumes/disk/J/Adult,B/BAZX/BAZX-382/BAZX-382.mp4,BAZX-382,/v/MmDDBR,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-159/BBAN-159.mp4,BBAN-159,/v/xAgqP,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-201/BBAN-201.mp4,BBAN-201,/v/P9p6E,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-221/BBAN-221.mp4,BBAN-221,/v/n4wRm,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-240/BBAN-240.mp4,BBAN-240,/v/v48BO,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-257/BBAN-257.mp4,BBAN-257,/v/mJQ8M,1,
/Volumes/disk/G/Adult,B/BBAN/BBAN-261/BBAN-261.mp4,BBAN-261,/v/mJ63M,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-289/BBAN-289.mp4,BBAN-289,/v/GQ9vg,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-305/BBAN-305.mp4,BBAN-305,/v/Ygvwb,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-313/BBAN-313.mp4,BBAN-313,/v/32AJ0,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-333/BBAN-333.mp4,BBAN-333,/v/kkBvN,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-340/BBAN-340.mp4,BBAN-340,/v/6Bn0a,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-356/BBAN-356.mp4,BBAN-356,/v/ZQVDX,1,
/Volumes/disk/J/Adult,B/BBAN/BBAN-359/BBAN-359.mp4,BBAN-359,/v/YD1Ze,1,
